Noticias,links
"
¡Por fin verá la luz! El túnel de La Línea empieza a funcionar este 4 de septiembre 
",https://noticias.caracoltv.com/
"
Acordeonero que le cantó a la pandemia y sobrevivió al COVID perdió la batalla contra otro enemigo
",https://noticias.caracoltv.com/
"
Bus del SITP repleto de pasajeros: una imagen que preocupa en Bogotá 
",https://noticias.caracoltv.com/
"
Niegan insólita tutela a mujer que dice que el cartel de Medellín lo creó el “Clero Ruso Ortodoxo”
",https://noticias.caracoltv.com/
"
La historia de una ‘bebé milagro’: su mamá murió tras ser arrollada por conductora ebria 
",https://noticias.caracoltv.com/
"
""Derrotamos al gobierno"": se cayó el 'mico' de la ley de regalías que daba luz verde al fracking  
",https://noticias.caracoltv.com/
"
Egan Bernal envió un mensaje tras la etapa 6 del Tour de Francia: “hay que tener paciencia”
",https://noticias.caracoltv.com/
"
Clasificación General del Tour de Francia tras la etapa 6
",https://noticias.caracoltv.com/
"
Reviva los mejores momentos de la etapa 6 del Tour de Francia

",https://noticias.caracoltv.com/
"
Canadá sugiere ""saltarse"" los besos y usar tapabocas durante el sexo en tiempo de coronavirus
",https://noticias.caracoltv.com/
"
India superó sus propias cifras récord de contagios diarios con COVID-19 
",https://noticias.caracoltv.com/
"
Colombia hará estudio para medir el daño causado por el COVID-19 
",https://noticias.caracoltv.com/
"
Vuelve la rumba y Cali lo sabe: así será ‘aguae'lulo’ que reactiva este sector en la ciudad 
",https://noticias.caracoltv.com/
"
El 93% de proyectos de vacunas no llegan a la fase III: Minsalud pide “optimismo moderado” 
",https://noticias.caracoltv.com/
"
La Roca reveló que él y su familia tuvieron coronavirus
",https://noticias.caracoltv.com/
"
Vacuna contra COVID-19 no estaría antes del primer semestre de 2021: Minsalud
",https://noticias.caracoltv.com/
"
“Mi bebé es muy pequeño y no le puedo faltar”: Danna García habla de la muerte tras el COVID-19
",https://noticias.caracoltv.com/
"
Prepárese para ver más gente en el Metro: autorizaron ampliar su capacidad de ocupación
",https://noticias.caracoltv.com/
"
Por una “afección respiratoria”, Clara Luz Roldán fue internada en una clínica de Cali
",https://noticias.caracoltv.com/
"
Heroicos policías salvaron a mujer que estaba a punto de lanzarse desde un puente en Magdalena
",https://noticias.caracoltv.com/
"
Contundente respuesta de Shannon De Lima a usuario que le dijo “mantenida” de James
",https://noticias.caracoltv.com/
"
Madre del delito: mujer que integraba banda criminal escondía las armas en el coche de su hijo 
",https://noticias.caracoltv.com/
"
Ciudadanos denuncian calvario para poder sacar sus vehículos de los patios en Medellín
",https://noticias.caracoltv.com/
"
Niño de 12 años sufrió graves quemaduras tras la caída de un cable en Barranquilla 
",https://noticias.caracoltv.com/
"
Cárcel para una joven que asesinó a una mujer durante una riña entre pandillas 
",https://noticias.caracoltv.com/
"
Rescatan a trabajadores que habían caído a un abismo en el Túnel del Toyo
",https://noticias.caracoltv.com/
"
Así terminó un hombre que retuvo e intimidó a su compañera sentimental y a sus 4 hijos 
",https://noticias.caracoltv.com/
"
Encuentran los cuerpos de 5 hermanitos en un apartamento y la mamá sería la responsable del crimen
",https://noticias.caracoltv.com/
"
Como malabarista de circo: arriesgó su vida para robar cableado eléctrico a 10 metros de altura
",https://noticias.caracoltv.com/
"
Reunión entre Henrique Capriles y el gobierno de Maduro molestó a Guaidó  
",https://noticias.caracoltv.com/
"
“Prueba indiscutible”: confirman que Alexei Navalny, duro crítico de Vladimir Putin, fue envenenado 
",https://noticias.caracoltv.com/
"
EE. UU. se la juega por deportar a Mancuso a Colombia: estos son sus argumentos  
",https://noticias.caracoltv.com/
"
“Esto es hermoso”: papa Francisco se reencuentra cara a cara con fieles luego de 6 meses
",https://noticias.caracoltv.com/
"
Muere joven embarazada en atentado contra su novio mientras ambos dormían
",https://noticias.caracoltv.com/
"
Se les dañó la risa a payasos que despedían con fiesta a uno de sus colegas
",https://noticias.caracoltv.com/
"
EE. UU. no participará en plataforma de la OMS para distribuir la vacuna del coronavirus 
",https://noticias.caracoltv.com/
"
Muere otro afroamericano a manos de la Policía en EE. UU.: denuncian que le dieron más de 20 tiros
",https://noticias.caracoltv.com/
"
Coronavirus cobró la vida de otros 296 colombianos: han muerto 20.348
",https://noticias.caracoltv.com/
"
Desde el Congreso denuncian manipulación de cifras para aplanar curva del COVID-19 
",https://noticias.caracoltv.com/
"
Heroica labor de 100 voluntarios que lucharon contra el COVID en varias zonas de Colombia
",https://noticias.caracoltv.com/
"
Colombia supera los 20 mil muertos por coronavirus, justo el día que empieza la ""nueva realidad""
",https://noticias.caracoltv.com/
"
Bacterióloga contrajo COVID-19 en abril y volvió a dar positivo en julio: ¿puede ser reinfección? 
",https://noticias.caracoltv.com/
"
¡Cuidado! Gobierno reconoce que con nueva normalidad puede haber un rebrote del coronavirus 
 
",https://noticias.caracoltv.com/
"
Colombia se acerca a las 20.000 muertes por COVID-19 al registrar 299 en el último reporte
",https://noticias.caracoltv.com/
"
¿Tiene barba? Ojo a estas recomendaciones a la hora de usar tapabocas
",https://noticias.caracoltv.com/
"
¿Cómo se ve afectado el olfato por el coronavirus?  
",https://noticias.caracoltv.com/
"
¿Qué significa el rastreo de contactos de COVID-19 y por qué es tan importante? 
",https://noticias.caracoltv.com/
"
Natalia París sorprende a sus seguidores al revelar experiencia paranormal
",https://noticias.caracoltv.com/
"
“Una experiencia maravillosa”: Fernando Trueba sobre hacer ‘El olvido que seremos’ en Colombia
",https://noticias.caracoltv.com/
"
“Te extraño mucho, papá”: tierna dedicatoria de La Chilindrina por cumpleaños de Don Ramón
",https://noticias.caracoltv.com/
"
“Salir de la pobreza ni siquiera es tener dinero”: vea el contundente mensaje que envió La Liendra
",https://noticias.caracoltv.com/
"
El DJ Erick Morillo, muerto en extrañas circunstancias, enfrentaba un proceso judicial hace un mes
",https://noticias.caracoltv.com/
"
BTS habla de su exitosa canción ‘Dynamite’ y envía un mensaje a los 'Army' de todo el mundo
",https://noticias.caracoltv.com/
"
Sara Uribe enseña el tatuaje que se hizo en pareja 
",https://noticias.caracoltv.com/
"
Elton John, Billie Eilish y Ozzy Osbourne donaron valiosos objetos para una subasta benéfica  
",https://noticias.caracoltv.com/
"
Jennifer Lopez liderará campaña para que las mujeres latinas voten en elecciones de EE. UU.
",https://noticias.caracoltv.com/
"
Danna García y las secuelas del COVID-19: “Es una sensación de que vas a atravesar el piso”
",https://noticias.caracoltv.com/
